   1.03387,  33.37604, -41.44157, -40.92234, -14.65514,  23.68260,  24.62672,  -1.78397,  10.86480,  34.93137
   4.02110,  43.70307, -42.82620, -35.51419,  -9.57224,  18.73504,  24.31317,  -0.39615,  10.71635,  33.60988
  -3.36997,  32.97824, -42.76601, -38.29391, -17.13105,  30.24487,  15.60070,   0.63782,   1.62238,  33.77529
  -1.17026,  34.18325, -42.22421, -44.06101, -11.11661,  24.27946,  20.46903,  -4.85005,   1.97047,  32.79737
   8.63597,  34.20739, -37.03652, -44.74992,  -5.15358,  26.30210,  18.64376, -10.27835,  -1.23722,  35.47023
   8.63338,  34.08261, -38.09415, -37.90347, -12.70077,  16.30972,  24.60596,  -5.03392,   6.45657,  37.16804
   9.15184,  36.74503, -40.17409, -33.81466, -12.73804,  22.99228,  28.40653,  -0.76677,   8.90226,  32.37881
   6.82116,  35.66391, -43.74319, -36.81899, -16.00406,  29.12763,  30.89177,  -4.55849,   5.95704,  32.47057
   8.18722,  35.91220, -41.37101, -40.08269,  -9.48880,  29.53662,  27.37746,  -6.48343,   5.17544,  31.50404
   9.96356,  31.00698, -41.63392, -41.25542,  -9.79693,  36.71104,  24.09796, -10.59270,   0.18443,  39.97028
   5.89755,  35.71539, -40.93015, -39.75354,  -9.96968,  22.40961,  22.72714,  -2.48683,   0.14608,  34.79655
   6.29462,  34.88818, -39.99093, -37.23132,  -9.34653,  29.21910,  19.36750,  -4.51772,  -2.94258,  35.61293
   5.23924,  38.30719, -42.57421, -34.90662, -12.35838,  22.57526,  22.28767,  -1.14750,   3.60291,  34.22195
   6.98036,  38.28335, -41.67854, -34.51623, -11.57028,  28.38613,  23.60847,   0.70901,   3.45367,  34.52207
   4.65511,  37.27325, -42.47383, -34.50890, -10.56717,  24.20657,  25.40460,  -1.18111,   6.81464,  34.14755
  10.56954,  37.39601, -37.76594, -33.82686,  -6.12037,  32.70061,  22.27194,  -3.97725,   2.15736,  36.31309
   5.93887,  34.27951, -39.66346, -38.68531,  -8.05527,  25.01149,  22.08212,  -3.99669,   1.91386,  35.33971
   8.89999,  37.60289, -38.67495, -37.58265,  -8.76397,  25.55751,  20.28452,  -2.22856,   5.43289,  35.03004
   8.71367,  37.22611, -39.45454, -33.16803, -10.83824,  20.00750,  23.99840,  -1.39460,   3.30042,  31.95577
